NAME,ISACTIVE,ISDEFAULT,MONDAYSTARTTIME,MONDAYENDTIME,TUESDAYSTARTTIME,TUESDAYENDTIME,WEDNESDAYSTARTTIME,WEDNESDAYENDTIME,THURSDAYSTARTTIME,THURSDAYENDTIME,FRIDAYSTARTTIME,FRIDAYENDTIME,TIMEZONESIDKEY
GMT+01:00  Central European Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Europe/Prague 
GMT+01:00  Central European Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Europe/Rome 
GMT+00:00  Greenwich Mean Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Europe/Dublin 
GMT+00:00  Western European Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Europe/Lisbon 
GMT+00:00  Greenwich Mean Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Europe/London 
GMT+00:00  Greenwich Mean Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,GMT 
GMT-01:00  Cape Verde Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Atlantic/Cape_Verde 
GMT-02:00  Brasilia Summer Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Sao_Paulo 
GMT-02:00  South Georgia Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Atlantic/South_Georgia 
GMT-03:00  Argentina Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Argentina/Buenos_Aires 
GMT-03:00  Chile Summer Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Santiago 
GMT-03:30  Newfoundland Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/St_Johns 
GMT-04:00  Atlantic Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Halifax 
GMT-04:00  Atlantic Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Puerto_Rico 
GMT-04:00  Atlantic Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Atlantic/Bermuda 
GMT-04:30  Venezuela Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Caracas 
GMT-05:00  Colombia Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Bogota 
GMT-05:00  Eastern Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Indiana/Indianapolis 
GMT-05:00  Peru Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Lima 
GMT-05:00  Eastern Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/New_York 
GMT-05:00  Eastern Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Panama 
GMT-06:00  Central Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Chicago 
GMT-06:00  Central Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/El_Salvador 
GMT-06:00  Central Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Mexico_City 
GMT-07:00  Mountain Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Denver ****America/Denver
GMT-07:00  Mountain Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Phoenix 
GMT-08:00  Pacific Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Los_Angeles 
GMT-08:00  Pacific Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Tijuana 
GMT-09:00  Alaska Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,America/Anchorage 
GMT-10:00  Hawaii-Aleutian Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Pacific/Honolulu 
GMT-11:00  Niue Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Pacific/Niue 
GMT-11:00  Samoa Standard Time ,TRUE,FALSE,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,08:00:00.000Z,18:00:00.000Z,Pacific/Pago_Pago 
